"Patient_Cluster","Target","Mean_Activity","Cluster_Target_Rank"
"Cluster_1","CSF1R",0.345092799040064,1
"Cluster_1","P2RX7",0.281389537736185,2
"Cluster_1","C3AR1",0.265656005431745,3
"Cluster_1","C5AR1",0.260857668926975,4
"Cluster_1","CLEC7A",0.236004065950302,5
"Cluster_1","LILRB2",0.233663726929368,6
"Cluster_1","SIGLEC1",0.142328526686691,7
"Cluster_1","PILRA",0.116723870252663,8
"Cluster_1","TLR4",0.0775811854712228,9
"Cluster_1","CD300E",0.0595730331861401,10
"Cluster_2","CSF1R",1.4929173968851,1
"Cluster_2","CLEC7A",1.29895950452871,2
"Cluster_2","C5AR1",1.19024310616813,3
"Cluster_2","LILRB2",1.13607444222967,4
"Cluster_2","C3AR1",0.978538834970953,5
"Cluster_2","PILRA",0.865633418151126,6
"Cluster_2","TLR4",0.461854204442339,7
"Cluster_2","CD300E",0.442511206884104,8
"Cluster_2","P2RX7",0.355706408227747,9
"Cluster_2","SIGLEC1",0.348280056164279,10
"Cluster_3","CSF1R",3.66980578298264,1
"Cluster_3","C3AR1",2.3740264894618,2
"Cluster_3","LILRB2",2.33656509262297,3
"Cluster_3","CLEC7A",2.26176803134073,4
"Cluster_3","PILRA",1.96470059102747,5
"Cluster_3","C5AR1",1.80956671114038,6
"Cluster_3","TLR4",1.06712595415385,7
"Cluster_3","P2RX7",0.99130530421942,8
"Cluster_3","CD300E",0.511766778601578,9
"Cluster_3","SIGLEC1",0.07371956890937,10
